PORT_ID,PORT_CD,PORT_NAM,COUNTRY_CD,STATE_CD,COMMENTS_TXT,AS_OF_CD,CAPTURE_DAT,RECORD_STATUS_CD
101191,PWM,"PORTLAND, MAINE",US,ME,,CD,5/21/2019,A
101192,PDX,"PORTLAND, OREGON",US,OR,,CD,5/21/2019,A
101193,PVC,PROVINCETOWN,US,MA,,CD,5/21/2019,A
101194,SAN,SAN DIEGO,US,CA,,CD,5/21/2019,A
101202,MVD,MONTEVIDEO,UY,,,CD,5/21/2019,A
102041,PDP,"PUNTA DEL ESTE, URUGUAY",UY,,,CD,5/21/2019,A
101736,KT1,KINGSTOWN,VC,,,CD,5/21/2019,A
101211,LAG,LA GUAIRA,VE,,,CD,5/21/2019,A
100909,VIJ,VIRGIN GORDA,VG,,,CD,5/21/2019,A
100908,TOV,TORTOLA,VG,,,CD,5/21/2019,A
104068,HUI,HUE/DA NANG (CHAN MAY),VN,,,CD,2/22/2017,D
101213,SGN,PHU MY (HO CHI MINH CITY),VN,,,CD,5/21/2019,A
101216,HAN,HANOI (HA LONG BAY),VN,,,CD,5/21/2019,A
101215,DAD,HUE/DA NANG (CHAN MAY),VN,,,CD,5/21/2019,A
101214,CDX,CON DAO,VN,,,CD,5/21/2019,A
101212,NHA,NHA TRANG,VN,,,CD,5/21/2019,A
101208,MYS,MYSTERY ISLAND,VU,,,CD,5/21/2019,A
101209,LUG,LUGANVILLE,VU,,,CD,5/21/2019,A
104053,PVL,PORT VILA,VU,,,CD,5/24/2017,D
101207,CPA,CHAMPAGNE BEACH,VU,,,CD,5/21/2019,A
101210,VLI,PORT VILA,VU,,,CD,5/21/2019,A
104051,API,APIA,WS,,,CD,5/24/2017,D
101106,APW,APIA,WS,,,CD,5/21/2019,A
105031,RIC,"RICHARD'S BAY, SOUTH AFRICA",ZA,,,CD,5/21/2019,A
105032,LIZ,"PORT ELIZABETH, SOUTH AFRICA",ZA,,,CD,5/21/2019,A
102497,DUR,DURBAN,ZA,,,CD,5/21/2019,A
102496,CPT,CAPE TOWN,ZA,,,CD,5/21/2019,A
105033,MOS,"MOSSELBAY, SOUTH AFRICA",ZA,,,CD,5/21/2019,A
100797,CSR,CRUISE SAGUENAY RIVER,ZZ,,,CD,5/21/2019,A
